"INTNR","kvotgrupp","BG_COUNTRY","BG_Gender","BG_Age","AGE_ITA","MUN_ITA","NUTS2","lik_airp","imp_ind_airp","imp_oth_airp","prep_aut_airp","prep_ind_airp","know_aut_airp","know_ind_airp","exper_airp","work","education","income","politic","smoke","lik_airp_rel","imp_ind_airp_rel","we","PM10_mean"
1434,"Italien riksrep",1,0,"1",2,20,NA,1,NA,NA,3,NA,NA,3,0,0,0,0,NA,1,1.11111111111111,NA,0.90260106,19.4341992309909
1222,"Italien riksrep",1,0,"1",2,19,NA,3,3,3,4,4,4,4,1,0,0,1,NA,1,1,0.9375,0.90260106,23.6267827677519
1556,"Italien riksrep",1,0,"1",2,19,NA,5,4,5,1,2,2,3,1,0,0,1,NA,0,1.35135135135135,1.11111111111111,0.90260106,23.6267827677519
1484,"Italien riksrep",1,0,"1",2,19,NA,NA,4,4,4,4,4,4,0,1,1,1,2,0,NA,1.125,0.90260106,23.6267827677519
1207,"Italien riksrep",1,0,"1",2,19,NA,4,3,4,3,2,3,2,0,1,0,1,NA,0,1.53846153846154,1.36363636363636,0.90260106,23.6267827677519
1276,"Italien riksrep",1,0,"1",2,19,NA,5,5,5,2,3,2,4,1,1,0,1,1,1,1.51515151515152,1.16279069767442,0.90260106,23.6267827677519
1438,"Italien riksrep",1,0,"1",2,8,NA,4,5,5,1,2,3,2,1,1,1,1,1,1,1.42857142857143,1.21951219512195,0.90260106,25.3944252589319
1500,"Italien riksrep",1,0,"1",2,8,NA,NA,5,5,2,1,2,2,1,1,0,0,1,0,NA,1.11111111111111,0.90260106,25.3944252589319
1525,"Italien riksrep",1,0,"1",2,8,NA,4,3,5,1,2,2,2,1,1,0,1,1,1,1.42857142857143,1.2,0.90260106,25.3944252589319
1205,"Italien riksrep",1,0,"1",2,6,NA,3,4,5,3,3,3,2,0,1,0,1,NA,0,1.2,1.21212121212121,0.90260106,30.6782977878343
1442,"Italien riksrep",1,0,"1",2,3,NA,4,5,5,3,3,3,3,0,1,0,1,2,1,1.08108108108108,1.11111111111111,0.90260106,16.8455022740387
1336,"Italien riksrep",1,0,"1",2,3,NA,4,5,5,2,1,5,3,0,1,1,1,2,1,1.66666666666667,1.85185185185185,0.90260106,16.8455022740387
1236,"Italien riksrep",1,0,"1",2,4,NA,5,4,5,3,3,3,4,1,0,0,0,2,0,1.51515151515152,1,0.90260106,29.9320686058126
1552,"Italien riksrep",1,0,"1",2,4,NA,5,5,5,1,1,1,3,0,1,0,0,2,0,1.61290322580645,1.11111111111111,0.90260106,29.9320686058126
1244,"Italien riksrep",1,0,"1",2,4,NA,3,4,4,4,2,3,4,0,0,0,1,2,0,1.30434782608696,1.25,0.90260106,29.9320686058126
1352,"Italien riksrep",1,0,"1",2,4,NA,3,4,5,3,3,3,2,0,1,0,1,2,0,1.2,1.09090909090909,0.90260106,29.9320686058126
1530,"Italien riksrep",1,0,"1",2,1,NA,5,NA,5,1,1,1,1,1,1,0,1,NA,0,NA,NA,0.90260106,27.9600902352672
1421,"Italien riksrep",1,0,"1",2,13,NA,5,4,4,3,2,4,3,0,0,0,1,0,1,1.78571428571429,1.17647058823529,0.90260106,18.9834615214343
1199,"Italien riksrep",1,0,"1",2,18,NA,3,3,5,2,2,2,2,0,0,0,0,NA,0,1,0.9375,0.90260106,20.7878009348761
1502,"Italien riksrep",1,0,"1",2,15,NA,5,4,5,2,2,1,1,0,0,0,0,NA,0,2.10526315789474,1.29032258064516,0.90260106,24.2004089824606
1426,"Italien riksrep",1,0,"1",2,15,NA,5,5,5,1,1,2,3,1,1,0,0,NA,0,1.25,1.25,0.90260106,24.2004089824606
